freq,age,purpose,duration,unit,geo,year,value
A,PER,DOM,N_GE1,Y45-54,NR,2012,6767249.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,874268.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,2583740.0
A,PER,DOM,N_GE1,Y45-54,NR,2012,49201318.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,12501196.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,3846250.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,2834719.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,8771616.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,987152.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,28684425.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,169814892.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,14973873.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,869853170.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,1061614.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,14419159.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,166558759.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,1019442600.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,23212386.0
A,PER,DOM,N_GE1,Y45-64,NR,2012,311056829.0
